CO_UNIDADE;CO_CNES;NU_CNPJ_MANTENEDORA;TP_PFPJ;NO_FANTASIA;NU_ENDERECO;CO_CEP;NU_TELEFONE;NO_EMAIL;CO_ATIVIDADE;TP_UNIDADE;CO_ESTADO_GESTOR;CO_MUNICIPIO_GESTOR;CO_TIPO_UNIDADE;CO_TIPO_ESTABELECIMENTO;CO_CONVENIO;QTProfissionais;NU_CNPJ_ADM;TO_CHAR(DT_VIGENCIA_INICIAL,'DD/MM/YYYY');TO_CHAR(DT_VIGENCIA_FINAL,'DD/MM/YYYY');CO_CPF;NO_REPRESENTANTE;DS_CARGO;DS_E_MAIL;DT_DADOS
2200209970991;9970991;;3;LABORATORIO DE ANALISES CLINICA AGUA BRANCA;717;64460000;(86)999012732;;4;80;22;220020;;18.0;2;;;;;;;;;202201
2206727469535;7469535;10560403000491.0;3;LABORATORIO DE PROTESE DE NAZARIA;S/N;64415000;;;4;39;22;220672;;20.0;1;;;;;;;;;202201
2207004009347;4009347;;3;BIOCENTER LABORATORIO CLINICO;572;64500000;(89)3462 4517;cassiomcarmo@hotmail.com;4;39;22;220700;;18.0;1;;;;;;;;;202201
2209900046655;46655;2561143000106.0;3;LRPD SAO JOAO DA SERRA;S/N;64350000;8632511169;;4;39;22;220990;;18.0;1;;;;;;;;;202201
2204357509537;7509537;1668772000169.0;3;LRPD GEMINIANO PI;203;64613000;8934260001;;4;39;22;220435;;20.0;1;;;;;;;;;202201
2203350474681;474681;3049185000117.0;3;LRPD DE DIRCEU ARCOVERDE PI;S/N;64785000;;;4;39;22;220335;;16.0;1;;;;;;;;;202201
2202607361092;7361092;703455000173.0;3;LABORATORIO DE PROTESE DENTARIA DE CASTELO DO PIAUI;S/N;64340000;8632471425;smscastelo@yahoo.com.br;4;39;22;220260;;20.0;1;;;;;;;;;202201
2211009874410;9874410;;3;BIOANALISE LTDA;1733;64049370;32158555;;4;39;22;221100;;18.0;6;;;;;;;;;202201
2211003269876;3269876;;3;FISIOCLINIC CLINICA DE FISIOTERAPIA LTDA;2160;64001280;(86)2211888;;4;39;22;221100;;16.0;2;;;;;;;;;202201
2205200825166;825166;;3;LABORATORIO DE PROTESE DENTARIA PRODENTE;554;64575000;89 99346627;naiararyan28@gmail.com;4;39;22;220520;;15.0;2;;;;;;;;;202201
2211000941050;941050;;3;LABORATORIO EXAME TERESINA;2255;64001160;8621065959;adminsitracao@laboexame.com.br;4;39;22;221100;;18.0;2;;;;;;;;;202201
2200400938289;938289;;3;BIOANALISE LTDA;S/N;64290000;86 32158585;;4;39;22;220040;;18.0;2;;;;;;;;;202201
2206200492698;492698;6553614000500.0;3;LRPD DE MIGUEL ALVES;S/N;64130000;;;4;39;22;220620;;20.0;1;;;;;;;;;202201
2204300845027;845027;3543912000106.0;3;LABORATORIO DE PROTESE DENTARIA LAB MASTER;10;64690000;89 99196189;contapicos@hotmail.com;4;39;22;220430;;20.0;1;;;;;;;;;202201
2204300845027;845027;3543912000106.0;3;LABORATORIO DE PROTESE DENTARIA LAB MASTER;10;64690000;89 99196189;contapicos@hotmail.com;4;39;22;220430;;20.0;1;;;;;;;;;202201
2201980940127;940127;1612567000181.0;3;LRPD DE BREJO DO PIAUI;S/N;64895000;89981151575;;4;39;22;220198;;20.0;1;;;;;;;;;202201
2203700997455;997455;4266498000190.0;3;LABORATORIO MUNICIPAL DE ESPERANTINA;173;64180000;(86) 3383 1538;DEVISAESPERANTINA@GMAIL.COM;4;39;22;220370;;18.0;1;;;;;;;;;202201
2209653809625;3809625;2802085000157.0;3;LABORATORIO JOSE MOREIRA DOS SANTOS;344;64745000;(89)34966003;;4;39;22;220965;;18.0;1;;;;;;;;;202201
2200503809579;3809579;;3;LABORATORIO DE DIAGNOSTICO CLINICO DO MEDIO PARNAIBA;124;64400000;(86)32921199;;4;39;22;220050;;18.0;2;;;;;;;;;202201
2200503809579;3809579;;3;LABORATORIO DE DIAGNOSTICO CLINICO DO MEDIO PARNAIBA;124;64400000;(86)32921199;;4;39;22;220050;;18.0;5;;;;;;;;;202201
2200503809579;3809579;;3;LABORATORIO DE DIAGNOSTICO CLINICO DO MEDIO PARNAIBA;124;64400000;(86)32921199;;4;39;22;220050;;18.0;6;;;;;;;;;202201
2211002406535;2406535;;3;PREVLAB;80;64001310;(86)32232242;;4;39;22;221100;;;1;;;;;;;;;202201
2211002406535;2406535;;3;PREVLAB;80;64001310;(86)32232242;;4;39;22;221100;;;2;;;;;;;;;202201
2211002406667;2406667;;3;SHECAP;2159;64001160;(86)2225083;;4;39;22;221100;;18.0;1;;;;;;;;;202201
2211002406667;2406667;;3;SHECAP;2159;64001160;(86)2225083;;4;39;22;221100;;18.0;2;;;;;;;;;202201
2211002406756;2406756;;3;LABORATORIO MARIANO CASTELO BRANCO E CIA LTDA;139;64000210;(86)2210210;;4;39;22;221100;;;1;;;;;;;;;202201
2211002406756;2406756;;3;LABORATORIO MARIANO CASTELO BRANCO E CIA LTDA;139;64000210;(86)2210210;;4;39;22;221100;;;2;;;;;;;;;202201
2211002406829;2406829;;3;POLICLINICA DO PIAUI;1803;64000020;(86)2228785;;4;39;22;221100;;18.0;1;;;;;;;;;202201
2211002406829;2406829;;3;POLICLINICA DO PIAUI;1803;64000020;(86)2228785;;4;39;22;221100;;18.0;1;;;;;;;;;202201
2211002406829;2406829;;3;POLICLINICA DO PIAUI;1803;64000020;(86)2228785;;4;39;22;221100;;18.0;2;;;;;;;;;202201
2211002406829;2406829;;3;POLICLINICA DO PIAUI;1803;64000020;(86)2228785;;4;39;22;221100;;18.0;2;;;;;;;;;202201
2208403563057;3563057;;3;FISIOCON CLINICA DE FISIOTERAPIA NOSSA SENHORA DA CONCEICAO;202;64260000;(86)32762651;;4;39;22;220840;;15.0;2;;;;;;;;;202201
2210602365138;2365138;;3;LABORATORIO ANALISES CLIN ESP N SENHORA DE FATIMA;585;64770000;(86)5821041;;4;39;22;221060;;18.0;2;;;;;;;;;202201
2210602365138;2365138;;3;LABORATORIO ANALISES CLIN ESP N SENHORA DE FATIMA;585;64770000;(86)5821041;;4;39;22;221060;;18.0;2;;;;;;;;;202201
2211002405857;2405857;;3;LABORATORIO FRANCISCO MOURA;1306;64000120;(08)62212973;;4;39;22;221100;;;2;;;;;;;;;202201
2211002405857;2405857;;3;LABORATORIO FRANCISCO MOURA;1306;64000120;(08)62212973;;4;39;22;221100;;;2;;;;;;;;;202201
2211002444046;2444046;;3;MEGAFISIO;1026;64012450;(86)2322086;;4;39;22;221100;;;2;;;;;;;;;202201
2211002360756;2360756;;3;CLINICA LUCIA SANTOS;445;64000190;;;4;39;22;221100;;;2;;;;;;;;;202201
2211002405601;2405601;;3;LABORATORIO DE ANALISES CLINICAS DE BOM JESUS;1450;64001280;(86)2262033;;4;39;22;221100;;;2;;;;;;;;;202201
2211002405601;2405601;;3;LABORATORIO DE ANALISES CLINICAS DE BOM JESUS;1450;64001280;(86)2262033;;4;39;22;221100;;;6;;;;;;;;;202201
2204654008928;4008928;;3;LACIG;192;64224000;;;4;39;22;220465;;18.0;2;;;;;;;;;202201
2211002406462;2406462;;3;HECLAN;1716;64001160;(86)2233867;;4;39;22;221100;;;2;;;;;;;;;202201
2205102766892;2766892;;3;LAB ANAL CL ENEAS MAIA NETO LABOFLOR;450;64820000;;;4;39;22;220510;;18.0;1;;;;;;;;;202201
2205102766892;2766892;;3;LAB ANAL CL ENEAS MAIA NETO LABOFLOR;450;64820000;;;4;39;22;220510;;18.0;1;;;;;;;;;202201
2205102766892;2766892;;3;LAB ANAL CL ENEAS MAIA NETO LABOFLOR;450;64820000;;;4;39;22;220510;;18.0;2;;;;;;;;;202201
2207702323214;2323214;;3;LABORATORIO ANALISES CLINICAS SAO VICENTE;615;64200280;(86)3221415;;4;39;22;220770;;16.0;1;;;;;;;;;202201
2207702323214;2323214;;3;LABORATORIO ANALISES CLINICAS SAO VICENTE;615;64200280;(86)3221415;;4;39;22;220770;;16.0;2;;;;;;;;;202201
2208404009657;4009657;;3;LABORATORIO CLINICO DE PIRIPIRI;225;64260000;(86)2761514;;4;39;22;220840;;18.0;1;;;;;;;;;202201
2208404009657;4009657;;3;LABORATORIO CLINICO DE PIRIPIRI;225;64260000;(86)2761514;;4;39;22;220840;;18.0;1;;;;;;;;;202201
2208404009657;4009657;;3;LABORATORIO CLINICO DE PIRIPIRI;225;64260000;(86)2761514;;4;39;22;220840;;18.0;2;;;;;;;;;202201
2208404009657;4009657;;3;LABORATORIO CLINICO DE PIRIPIRI;225;64260000;(86)2761514;;4;39;22;220840;;18.0;2;;;;;;;;;202201
2208404009657;4009657;;3;LABORATORIO CLINICO DE PIRIPIRI;225;64260000;(86)2761514;;4;39;22;220840;;18.0;6;;;;;;;;;202201
2207702324350;2324350;;3;CENTROCLINICA;650;64200200;(86)3212200;;4;39;22;220770;;16.0;1;;;;;;;;;202201
2207702324350;2324350;;3;CENTROCLINICA;650;64200200;(86)3212200;;4;39;22;220770;;16.0;1;;;;;;;;;202201
2207702324350;2324350;;3;CENTROCLINICA;650;64200200;(86)3212200;;4;39;22;220770;;16.0;2;;;;;;;;;202201
2207702324350;2324350;;3;CENTROCLINICA;650;64200200;(86)3212200;;4;39;22;220770;;16.0;2;;;;;;;;;202201
2211006650732;6650732;;3;ART DENTE;281;64001310;8632210582;;4;39;22;221100;;;2;;;;;;;;;202201
2205006570119;6570119;;3;LABOFLOR;31;64565000;;;4;39;22;220500;;16.0;2;;;;;;;;;202201
2207703563049;3563049;;3;FISIOCLINICA DE PARNAIBA;452;64200200;(86)33239999;;4;39;22;220770;;;2;;;;;;;;;202201
2201906691889;6691889;;3;CMDI CENTRO MEDICO DE DIAGNOSTICO POR IMAGEM;505;64900000;89)35622635-81356086;cmdibomjesus@hotmail.com;4;39;22;220190;;18.0;6;;;;;;;;;202201
2204204008820;4008820;;3;BIODIAGNOSTICO;S/N;64645000;8934223840;;4;39;22;220420;;18.0;1;;;;;;;;;202201
2204204008820;4008820;;3;BIODIAGNOSTICO;S/N;64645000;8934223840;;4;39;22;220420;;18.0;2;;;;;;;;;202201
2211003111911;3111911;;3;ENDOCARDIO;616;64001450;(86);;4;39;22;221100;;;2;;;;;;;;;202201
2201202365030;2365030;;3;LABOBARRAS;S/N;64100000;(86)3242 2700;;4;39;22;220120;;18.0;1;;;;;;;;;202201
2201202365030;2365030;;3;LABOBARRAS;S/N;64100000;(86)3242 2700;;4;39;22;220120;;18.0;2;;;;;;;;;202201
2207702364964;2364964;;3;ENDOGASTRO;1035;64200361;86 33222850;;4;39;22;220770;;16.0;1;;;;;;;;;202201
2207702364964;2364964;;3;ENDOGASTRO;1035;64200361;86 33222850;;4;39;22;220770;;16.0;1;;;;;;;;;202201
2207702364964;2364964;;3;ENDOGASTRO;1035;64200361;86 33222850;;4;39;22;220770;;16.0;2;;;;;;;;;202201
2207702364964;2364964;;3;ENDOGASTRO;1035;64200361;86 33222850;;4;39;22;220770;;16.0;2;;;;;;;;;202201
2207702443732;2443732;;3;CLINICA ARMANDO CAJUBA;866;64200907;(86)3221917;clinicaarmandocajuba@hotmail.com;4;39;22;220770;;16.0;1;;;;;;;;;202201
2207702443732;2443732;;3;CLINICA ARMANDO CAJUBA;866;64200907;(86)3221917;clinicaarmandocajuba@hotmail.com;4;39;22;220770;;16.0;2;;;;;;;;;202201
2211003174964;3174964;;3;GINECLINICA;1558;64001120;;;4;39;22;221100;;;2;;;;;;;;;202201
2211003174964;3174964;;3;GINECLINICA;1558;64001120;;;4;39;22;221100;;;2;;;;;;;;;202201
2200503651894;3651894;;3;GIOMED;62;64400000;;;4;39;22;220050;;18.0;2;;;;;;;;;202201
2200503651894;3651894;;3;GIOMED;62;64400000;;;4;39;22;220050;;18.0;2;;;;;;;;;202201
2208002694638;2694638;;3;CEPAC IMAGEM;514;64600094;8934223019;;4;39;22;220800;;16.0;1;;;;;;;;;202201
2208002694638;2694638;;3;CEPAC IMAGEM;514;64600094;8934223019;;4;39;22;220800;;16.0;1;;;;;;;;;202201
2208002694638;2694638;;3;CEPAC IMAGEM;514;64600094;8934223019;;4;39;22;220800;;16.0;2;;;;;;;;;202201
2208002694638;2694638;;3;CEPAC IMAGEM;514;64600094;8934223019;;4;39;22;220800;;16.0;6;;;;;;;;;202201
2210604009983;4009983;;3;LABORCLIN;690;64770000;(89)5822044;;4;39;22;221060;;18.0;1;;;;;;;;;202201
2210604009983;4009983;;3;LABORCLIN;690;64770000;(89)5822044;;4;39;22;221060;;18.0;1;;;;;;;;;202201
2210604009983;4009983;;3;LABORCLIN;690;64770000;(89)5822044;;4;39;22;221060;;18.0;2;;;;;;;;;202201
2210604009983;4009983;;3;LABORCLIN;690;64770000;(89)5822044;;4;39;22;221060;;18.0;2;;;;;;;;;202201
2210934010043;4010043;;3;LAB NAPOLEAO MOURA DIAS NETO;52;64610000;(08)94250030;;4;39;22;221093;;18.0;2;;;;;;;;;202201
2210934010043;4010043;;3;LAB NAPOLEAO MOURA DIAS NETO;52;64610000;(08)94250030;;4;39;22;221093;;18.0;2;;;;;;;;;202201
2211002405849;2405849;;3;HISTOPIL;177;64001390;(86)2210911;;4;39;22;221100;;18.0;1;;;;;;;;;202201
2211002405849;2405849;;3;HISTOPIL;177;64001390;(86)2210911;;4;39;22;221100;;18.0;2;;;;;;;;;202201
2211002406454;2406454;;3;LAC DO PIAUI;274;64001370;(86)2214631;;4;39;22;221100;;;1;;;;;;;;;202201
2211002406454;2406454;;3;LAC DO PIAUI;274;64001370;(86)2214631;;4;39;22;221100;;;1;;;;;;;;;202201
2211002406454;2406454;;3;LAC DO PIAUI;274;64001370;(86)2214631;;4;39;22;221100;;;2;;;;;;;;;202201
2207907167083;7167083;;3;LABORATORIO DE PROTESE DENTARIA LOURO PAIXAO;08;64255000;86 81137181;;4;39;22;220790;;20.0;2;;;;;;;;;202201
2208657274033;7274033;2676035000170.0;3;LRPD QUEIMADA NOVA;S/N;64758000;;;4;39;22;220865;;20.0;1;;;;;;;;;202201
2211007285930;7285930;;3;LABORATORIO DE PROTESE ODONTOLOGICA LAPRODONTO;398;64004800;(86)32256778/99948429;mario_protetico@hotmail.com;4;39;22;221100;;20.0;1;;;;;;;;;202201
2211007285930;7285930;;3;LABORATORIO DE PROTESE ODONTOLOGICA LAPRODONTO;398;64004800;(86)32256778/99948429;mario_protetico@hotmail.com;4;39;22;221100;;20.0;1;;;;;;;;;202201
2211007285930;7285930;;3;LABORATORIO DE PROTESE ODONTOLOGICA LAPRODONTO;398;64004800;(86)32256778/99948429;mario_protetico@hotmail.com;4;39;22;221100;;20.0;2;;;;;;;;;202201
2207557275056;7275056;2389819000118.0;3;LABORATORIO DE PROTESE DENTARIA DE PAQUETA;439;64618000;(89)34240041;sms.paquetapi@hotmail.com;4;39;22;220755;;20.0;1;;;;;;;;;202201
2201207328214;7328214;;3;NEW LAB;490;64100000;;;4;39;22;220120;;18.0;1;;;;;;;;;202201
2201207328214;7328214;;3;NEW LAB;490;64100000;;;4;39;22;220120;;18.0;2;;;;;;;;;202201
2201207328214;7328214;;3;NEW LAB;490;64100000;;;4;39;22;220120;;18.0;2;;;;;;;;;202201
2201777323972;7323972;1612568000126.0;3;LRPD SMS BOA HORA;86;64108000;;;4;39;22;220177;;20.0;1;;;;;;;;;202201
2202737323697;7323697;2667961000180.0;3;LRPD DE COIVARAS;S/N;64335000;;smscoivaras@hotmail.com;4;39;22;220273;;20.0;1;;;;;;;;;202201
2202907328036;7328036;;3;LABORATORIO VIDA SAUDE;1711;64980000;8935731683;labvidasaude@bol.com.br;4;39;22;220290;;18.0;1;;;;;;;;;202201
2202907328036;7328036;;3;LABORATORIO VIDA SAUDE;1711;64980000;8935731683;labvidasaude@bol.com.br;4;39;22;220290;;18.0;2;;;;;;;;;202201
2202907328036;7328036;;3;LABORATORIO VIDA SAUDE;1711;64980000;8935731683;labvidasaude@bol.com.br;4;39;22;220290;;18.0;2;;;;;;;;;202201
2202307489986;7489986;6554042000665.0;3;LRPD DE CANTO DO BURITI;336;64890000;;;4;39;22;220230;;20.0;1;;;;;;;;;202201
2203807484097;7484097;6554158000190.0;3;LRPD DE FLORES DO PIAUI;S/N;64815000;;;4;39;22;220380;;20.0;1;;;;;;;;;202201
2211007477406;7477406;;3;CLINICA DE FISIOTERAPIA E ESTETICA ICAF;26;64039570;8632193439;lizianefisioterapeuta@hotmail.com;4;39;22;221100;;15.0;1;;;;;;;;;202201
2211007477406;7477406;;3;CLINICA DE FISIOTERAPIA E ESTETICA ICAF;26;64039570;8632193439;lizianefisioterapeuta@hotmail.com;4;39;22;221100;;15.0;2;;;;;;;;;202201
2211007477406;7477406;;3;CLINICA DE FISIOTERAPIA E ESTETICA ICAF;26;64039570;8632193439;lizianefisioterapeuta@hotmail.com;4;39;22;221100;;15.0;6;;;;;;;;;202201
2201207345038;7345038;;3;LAB ANALISES;668;64100000;;;4;39;22;220120;;18.0;1;;;;;;;;;202201
2201207345038;7345038;;3;LAB ANALISES;668;64100000;;;4;39;22;220120;;18.0;2;;;;;;;;;202201
2203607355246;7355246;2852126000110.0;3;LRPD DE ELISEU MARTINS;S/N;64880000;;;4;39;22;220360;;20.0;1;;;;;;;;;202201
2202097320450;7320450;41522293000154.0;3;LRPD DE CALDEIRAO GRANDE DO PIAUI;S/N;64695000;;;4;39;22;220209;;20.0;1;;;;;;;;;202201
2209877320426;7320426;4407831000133.0;3;LABORATORIO DE PROTESE DENTARIA DE SAO JOAO DA FRONTEIRA;S/N;64243000;;;4;39;22;220987;;20.0;1;;;;;;;;;202201
2208607350902;7350902;2644351000160.0;3;LABORATORIO DE PROTESE DENTARIA DE PRATA DO PIAUI;290;64370000;(86)3250-1172;;4;39;22;220860;;20.0;1;;;;;;;;;202201
2211007205325;7205325;;3;LABORATORIO ARCANGELOS DE PROTESE DENTARIA;1799;64023500;;;4;39;22;221100;;;2;;;;;;;;;202201
2211007205325;7205325;;3;LABORATORIO ARCANGELOS DE PROTESE DENTARIA;1799;64023500;;;4;39;22;221100;;;6;;;;;;;;;202201
2203907215347;7215347;;3;CLINICA ODONTOLOGICA DR RAIMUNDO MARTINS;882;64800046;8935223300;raimar@floriano.net.br;4;39;22;220390;;18.0;1;;;;;;;;;202201
2203907215347;7215347;;3;CLINICA ODONTOLOGICA DR RAIMUNDO MARTINS;882;64800046;8935223300;raimar@floriano.net.br;4;39;22;220390;;18.0;1;;;;;;;;;202201
2203907215347;7215347;;3;CLINICA ODONTOLOGICA DR RAIMUNDO MARTINS;882;64800046;8935223300;raimar@floriano.net.br;4;39;22;220390;;18.0;2;;;;;;;;;202201
2203907215347;7215347;;3;CLINICA ODONTOLOGICA DR RAIMUNDO MARTINS;882;64800046;8935223300;raimar@floriano.net.br;4;39;22;220390;;18.0;2;;;;;;;;;202201
2206957336314;7336314;2699179000142.0;3;LABORATORIO DE PROTESE JOSE VITORIO;277;64365000;;;4;39;22;220695;;20.0;1;;;;;;;;;202201
2208107341563;7341563;704788000117.0;3;LABORATORIO DE PROTESE DENTARIA DE PIMENTEIRAS;S/N;64320000;;smspimenteiras@hotmail.com;4;39;22;220810;;20.0;1;;;;;;;;;202201
2203257372469;7372469;3231879000170.0;3;LRPD DE CURRALINHOS;S/N;64453000;8632730041;SAUDECURRALINHOS@HOTMAIL.COM;4;39;22;220325;;20.0;1;;;;;;;;;202201
2205257369239;7369239;1825794000195.0;3;LRPD DE JARDIM DO MULATO PIAUI;S/N;64495000;;;4;39;22;220525;;20.0;1;;;;;;;;;202201
2204109873988;9873988;2445565000108.0;3;LRPD DE FRANCISCO AYRES;S/N;64475000;;;4;39;22;220410;;16.0;1;;;;;;;;;202201
2202209756825;9756825;2439877000109.0;3;LABORATORIO MUNICIPAL DE CAMPO MAIOR;S/N;64280000;;;4;39;22;220220;;10.0;1;;;;;;;;;202201
2204209634932;9634932;;3;CENTROLAB;123;64645000;;centrolabfs@gmail.com;4;39;22;220420;;18.0;2;;;;;;;;;202201
2204209634932;9634932;;3;CENTROLAB;123;64645000;;centrolabfs@gmail.com;4;39;22;220420;;18.0;6;;;;;;;;;202201
2211009587322;9587322;;3;BIO EXAMES;1759;64001280;8632222995;;4;39;22;221100;;;2;;;;;;;;;202201
2202209857540;9857540;;3;CENTROLAB;494;64280000;86 981531563;centrolabcm@gmail.com;4;39;22;220220;;22.0;2;;;;;;;;;202201
2200509783784;9783784;;3;PRODENTEC;20;64400000;86 995411221;;4;39;22;220050;;18.0;2;;;;;;;;;202201
2202009402675;9402675;6554455000640.0;3;LABORATORIO BURITI DOS LOPES;195;64230000;;;4;80;22;220200;;18.0;1;;;;;;;;;202201
2204307717156;7717156;3543912000106.0;3;LABORATORIO MUNICIPAL DE PROTESES DENTARIAS;471;64690000;;;4;39;22;220430;;20.0;1;;;;;;;;;202201
2211003401472;3401472;;3;PROFISIO;2549;64017115;(86)2232128;;4;39;22;221100;;16.0;2;;;;;;;;;202201
2211003401472;3401472;;3;PROFISIO;2549;64017115;(86)2232128;;4;39;22;221100;;16.0;2;;;;;;;;;202201
2211002405768;2405768;;3;CENACLI;763;64001390;(86)32212477;;4;39;22;221100;;18.0;1;;;;;;;;;202201
2211002405768;2405768;;3;CENACLI;763;64001390;(86)32212477;;4;39;22;221100;;18.0;2;;;;;;;;;202201
2211002405768;2405768;;3;CENACLI;763;64001390;(86)32212477;;4;39;22;221100;;18.0;6;;;;;;;;;202201
2206909013520;9013520;6554836000114.0;3;LRPD NOVO ORIENTE DO PIAUI;S/N;64530000;;;4;39;22;220690;;20.0;1;;;;;;;;;202201
2210809326170;9326170;;3;CLINILAB ODONTOLOGIA E MEDICINA ESTETICA;668;64700000;89 99449502;;4;39;22;221080;;18.0;2;;;;;;;;;202201
2210809326170;9326170;;3;CLINILAB ODONTOLOGIA E MEDICINA ESTETICA;668;64700000;89 99449502;;4;39;22;221080;;18.0;2;;;;;;;;;202201
2205009235663;9235663;;3;SORRISO BOM;67;64565000;89 34220000;contapicos@hotmail.com;4;39;22;220500;;16.0;1;;;;;;;;;202201
2201203747514;3747514;2758526000160.0;3;CLINICA SANTA MARTA LTDA;S/N;64100000;;;4;39;22;220120;;;2;;;;;;;;;202201
2201200707716;707716;;3;CLINVIDAS;679;64100000;86 32230738;admclinvidas@hotmail.com;4;39;22;220120;;18.0;1;;;;;;;;;202201
2201200707716;707716;;3;CLINVIDAS;679;64100000;86 32230738;admclinvidas@hotmail.com;4;39;22;220120;;18.0;2;;;;;;;;;202201
2201200707716;707716;;3;CLINVIDAS;679;64100000;86 32230738;admclinvidas@hotmail.com;4;39;22;220120;;18.0;6;;;;;;;;;202201
2211000941115;941115;;3;LABORATORIO EXAME DE TERESINA LTDA;2160;64000120;8621065959;adminsitracao@laborexame.com.br;4;39;22;221100;;18.0;2;;;;;;;;;202201
2210609004440;9004440;;3;LAPRODENT;400;64770000;;;4;39;22;221060;;;2;;;;;;;;;202201
2210400615544;615544;;3;TAVARES MOURA ANALISES CLINICAS LTDA;179;64330000;86 32217805;;4;39;22;221040;;18.0;2;;;;;;;;;202201
2210400615544;615544;;3;TAVARES MOURA ANALISES CLINICAS LTDA;179;64330000;86 32217805;;4;39;22;221040;;18.0;6;;;;;;;;;202201
2207709105581;9105581;;3;LABORATORIO MENESES;1459;64200460;86 88513155;;4;39;22;220770;;16.0;2;;;;;;;;;202201
2207709105581;9105581;;3;LABORATORIO MENESES;1459;64200460;86 88513155;;4;39;22;220770;;16.0;6;;;;;;;;;202201
2200200972754;972754;;3;CITOPREV;414;64460000;;CITOPREVAB@GMAIL.COM;4;80;22;220020;;18.0;2;;;;;;;;;202201
2211009101403;9101403;;3;MED EXAMES;743;64001370;30844665;;4;39;22;221100;;;2;;;;;;;;;202201
2201919011080;9011080;2509009000158.0;3;LRPD DE BOM PRINCIPIO DO PIAUI;160;64225000;8633271170;smsbomprincipio@hotmail.com;4;39;22;220191;;20.0;1;;;;;;;;;202201
